reviews_287454_0003_0 The fries are of good quality , the staff is friendly . ||| p.Characteristic p.Identity B-GOV I-GOV O B-PREP B-OBJ I-OBJ O O O O O O 
reviews_372665_0003_0 Glad I called before I arrived with my box to ship . ||| p.Possession p.Ancillary O O O O O B-GOV B-PREP B-OBJ I-OBJ O O O 
reviews_242303_0001_0 Awesome bacon egg and cheese sandwich for breakfast . ||| p.Purpose p.Purpose B-GOV I-GOV I-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ O 
reviews_368431_0003_0 I wish I could have a slice for every single meal . ||| p.Circumstance p.Circumstance O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O 
reviews_188461_0002_0 The statement about " best hamburguers in town " can be even amplifiaed to " best hamburguers in world " Totally worth , juicy , big , fresh , and excellent customer service ! ||| p.Topic p.Topic B-GOV I-GOV B-PREP O B-OBJ I-OBJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
reviews_229142_0001_0 I used Birdies for our Annual Walk Against Drugs and Alcohol event . ||| p.Purpose p.Purpose O B-GOV O B-PREP B-OBJ I-OBJ I-OBJ I-OBJ I-OBJ I-OBJ I-OBJ I-OBJ O 
reviews_267982_0001_0 I won a golf lesson certificate with Adz through a charity auction . ||| p.Org p.Ancillary O O B-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ O O O O O 
reviews_016861_0004_0 I highly recommend Bay View if you are looking for Accommodation in Camps Bay . ||| p.Theme p.Theme O O O O O O O B-GOV I-GOV B-PREP B-OBJ O O O O 
reviews_114941_0003_0 They 're our favorite pizza place to order from ... and they 're a local , family owned company ! ||| p.Originator p.Source O O O O O O B-GOV I-GOV B-PREP O O O O O O O O O O O 
reviews_379701_0003_0 Would 100 % recomend to others for a great service . ||| p.Recipient p.Goal B-GOV O O B-GOV B-PREP B-OBJ O O O O O 
reviews_059386_0003_0 Wait staff is always ready to help if you ca n't decide ( which happens every time for me d / t the huge menu of rolls ) and always courteous ! ||| p.Beneficiary p.Beneficiary O O O O O O O O O O O O O O B-GOV O O B-PREP B-OBJ O O O O O O O O O O O O O 
reviews_340891_0001_0 The food tasted like rat feces ||| p.Manner p.ComparisonRef O O B-GOV B-PREP B-OBJ I-OBJ 
reviews_249889_0002_1 great knowledge and prices compared to anyone in the industry . ||| p.Org p.Locus O O O O O O B-GOV B-PREP B-OBJ I-OBJ O 
reviews_279070_0002_1 Happened on to this place while out of town on business , and it was great ! ||| p.Circumstance p.Locus B-GOV O O O O O O O O B-PREP B-OBJ O O O O O O 
reviews_059088_0001_0 Best Cigar lounge on the blouvard . ||| p.Locus p.Locus B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_343035_0002_0 I 'm very happy with the piano lessons Mrs. Lynda Mcmanus taught me . ||| p.Stimulus p.Topic O O B-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O O O O O O 
reviews_235462_0002_0 Absolutely my favorite store in Lawrence , KS ||| p.Locus p.Locus O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ 
reviews_202709_0003_2 I recommend you to everyone in Calgary , as she is a professional and the cost for her was low . ||| p.Theme p.Purpose O O O O O O O O O O O O O O B-GOV I-GOV B-PREP B-OBJ O O O 
reviews_266676_0002_1 Thanks For The Prompt Service And Great Job You And Your Boys Have Done On Our New Solar System , The Panels On The Roof Look Great And The Power We Are Putting Back In To The Grid Is Great , Great Job Thanks ||| p.Theme p.Theme O O O O O O O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ I-OBJ O O O O O O O O O O O O O O O O O O O O O O O O O 
reviews_341435_0001_1 Nice and quiet place with cosy living room just outside the city . ||| p.Locus p.Locus B-GOV I-GOV I-GOV I-GOV O O O O O B-PREP B-OBJ I-OBJ O 
reviews_262422_0004_0 The shop is located just off the river road . ||| p.Locus p.Source O O B-GOV I-GOV O B-PREP B-OBJ I-OBJ I-OBJ O 
reviews_379701_0003_1 Would 100 % recomend to others for a great service . ||| p.Purpose p.Purpose B-GOV O O B-GOV O O B-PREP B-OBJ I-OBJ I-OBJ O 
reviews_079827_0005_0 It clearly had been prepared from fresh ingredients . ||| p.Source p.Source O B-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_016861_0004_1 I highly recommend Bay View if you are looking for Accommodation in Camps Bay . ||| p.Locus p.Locus O O O O O O O O O O B-GOV B-PREP B-OBJ I-OBJ O 
reviews_267982_0001_1 I won a golf lesson certificate with Adz through a charity auction . ||| p.Means p.Means O B-GOV O O O O O O B-PREP B-OBJ I-OBJ I-OBJ O 
reviews_173944_0004_0 I have a new born daughter and she helped me with a lot . ||| p.Theme p.Theme O O O O O O O O B-GOV O B-PREP B-OBJ I-OBJ O 
reviews_096340_0001_0 ONe of a few . ||| p.QuantityItem p.Whole B-GOV B-PREP B-OBJ I-OBJ O 
reviews_087176_0002_1 They are by far the best salon in 50 miles , Trust me I know !! ||| p.Locus p.Locus O O O O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O O O 
reviews_341435_0001_0 Nice and quiet place with cosy living room just outside the city . ||| p.PartPortion p.PartPortion B-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O O O O O 
reviews_266676_0002_0 Thanks For The Prompt Service And Great Job You And Your Boys Have Done On Our New Solar System , The Panels On The Roof Look Great And The Power We Are Putting Back In To The Grid Is Great , Great Job Thanks ||| p.Explanation p.Explanation B-GOV B-PREP B-OBJ I-OBJ I-OBJ I-OBJ I-OBJ I-OBJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
reviews_275140_0002_0 We 've had about 5 repairs done on 3 different laptops . ||| p.Theme p.Theme O O O O O O B-GOV B-PREP B-OBJ I-OBJ I-OBJ O 
reviews_249889_0002_0 great knowledge and prices compared to anyone in the industry . ||| p.ComparisonRef p.Goal O O O O B-GOV B-PREP B-OBJ O O O O 
reviews_139456_0002_0 The experience with every department has been great . ||| p.Topic p.Topic B-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O 
reviews_021370_0002_3 It 's fine for mass - market chocolate , but with companies like Scharffen Berger , TCHO , and smaller artisan chocolate makers in the area , why ? ||| p.Locus p.Locus O O O O O O O O O O O O O B-GOV I-GOV I-GOV I-GOV I-GOV I-GOV I-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O O O 
reviews_358063_0002_1 Great place for people in chronic pain . ||| p.Characteristic p.Locus O O O B-GOV B-PREP B-OBJ I-OBJ O 
reviews_063754_0001_0 Chuck and Gretchen were very positive , and when Alan 's refused to work on my bike , Chuck came right out and saw the problem and did what Alan 's mechanic would n't do . ||| p.Theme p.Theme O O O O O O O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O O O O O O O O O O O O O O O O 
reviews_202402_0002_0 When my server crashed , Greg worked from 7 PM until 4 AM and had my company up and running the next morning . ||| p.StartTime p.StartTime O O O O O O B-GOV B-PREP B-OBJ I-OBJ O O O O O O O O O O O O O O 
reviews_125629_0001_0 Anyone else find it a little suspicious that there are not only 20 reviews for this dentist ( a HUGE number compared to the others in the area ) , but that they all have the same unique grammar structure ? ||| p.Topic p.Topic O O O O O O O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O O O O O O O O O O O O O O O O O O O O O 
reviews_354860_0001_0 The best company in Phuket for creating website and e-commerce website . ||| p.Locus p.Locus B-GOV I-GOV I-GOV B-PREP B-OBJ O O O O O O O 
reviews_248616_0002_0 Everything except the display worked fine before I took it in . ||| p.PartPortion p.PartPortion B-GOV B-PREP B-OBJ I-OBJ O O O O O O O O 
reviews_194830_0003_0 Pets Discount has lovely employees , a wonderful grooming service , and everything I need to keep my dog in tip top condition ! ||| p.Characteristic p.Locus O O O O O O O O O O O O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O 
reviews_061768_0004_0 But thankfully there are other flowers shops around Norman . ||| p.Locus p.Locus O O O O B-GOV I-GOV I-GOV B-PREP B-OBJ O 
reviews_228944_0003_1 I have a Saab ... which everything is expensive on and they have been extrememly fair and price a lot lower than any other shop I called . ||| p.ComparisonRef p.ComparisonRef O O O O O O O O O O O O O O O O O O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O O O 
reviews_077213_0004_0 it 's passable as a pub , but the pizza is not that great . ||| p.Identity p.Identity O O B-GOV B-PREP B-OBJ I-OBJ O O O O O O O O O 
reviews_140302_0002_0 I took my Mustang here and it looked amazing after they were done , they did a great job , I 'm very satisfied with the results . ||| p.Stimulus p.Topic O O O O O O O O O O O O O O O O O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_067423_0002_0 Our family has been trusting Doctor Hank with our teeth for the last seven years . ||| p.Topic p.Topic O O B-GOV I-GOV I-GOV O O B-PREP B-OBJ I-OBJ O O O O O O 
reviews_064146_0001_0 Best Pizzas and Calzones in the City ! ||| p.Locus p.Locus B-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_262722_0008_0 Choose this hotel over the Hilton ( which is on the next block ) . ||| p.ComparisonRef p.Locus O B-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O O O O O O 
reviews_022900_0003_0 Very hard work from the boys in blue there ! ||| p.Agent p.Source B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O 
reviews_140164_0001_0 If you want cheaply made glass from India and China , this is not your place . ||| p.Source p.Source O O O O O B-GOV B-PREP B-OBJ I-OBJ I-OBJ O O O O O O O 
reviews_228154_0001_0 Good food and coffee with a nice atmosphere ||| p.Characteristic p.Characteristic B-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ 
reviews_067423_0002_1 Our family has been trusting Doctor Hank with our teeth for the last seven years . ||| p.Duration p.Duration O O B-GOV I-GOV I-GOV O O O O O B-PREP B-OBJ I-OBJ I-OBJ I-OBJ O 
reviews_288930_0003_2 Try the 360 restraunt u spin in the cn tower with a beautiful view the sky pod elevator is about an hour line up in the summer ||| p.Time p.Time O O O O O O O O O O O O O O O O O O O O B-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ 
reviews_205014_0003_0 Very friendly and ALWAY contactable even at weekends . ||| p.Time p.Time O O O B-GOV I-GOV O B-PREP B-OBJ O 
reviews_228944_0003_0 I have a Saab ... which everything is expensive on and they have been extrememly fair and price a lot lower than any other shop I called . ||| ?? null O O O O O B-OBJ O O B-GOV B-PREP O O O O O O O O O O O O O O O O O O 
reviews_162702_0002_0 I was soooo lucky to have used Marlon 's photography services .... such a creative and talented photographer and a pleasure to work with . ||| p.SocialRel p.Ancillary O O O O O O O O O O O O O O O O O O O O O B-GOV I-GOV B-PREP O 
reviews_021370_0002_2 It 's fine for mass - market chocolate , but with companies like Scharffen Berger , TCHO , and smaller artisan chocolate makers in the area , why ? ||| p.PartPortion p.ComparisonRef O O O O O O O O O O O B-GOV B-PREP B-OBJ I-OBJ I-OBJ I-OBJ I-OBJ I-OBJ I-OBJ I-OBJ I-OBJ I-OBJ O O O O O O 
reviews_358063_0002_0 Great place for people in chronic pain . ||| p.Beneficiary p.Beneficiary B-GOV I-GOV B-PREP B-OBJ O O O O 
reviews_125629_0001_1 Anyone else find it a little suspicious that there are not only 20 reviews for this dentist ( a HUGE number compared to the others in the area ) , but that they all have the same unique grammar structure ? ||| p.ComparisonRef p.Goal O O O O O O O O O O O O O O O O O O O O O B-GOV B-PREP B-OBJ I-OBJ O O O O O O O O O O O O O O O O 
reviews_202402_0002_1 When my server crashed , Greg worked from 7 PM until 4 AM and had my company up and running the next morning . ||| p.EndTime p.EndTime O O O O O O B-GOV O O O B-PREP B-OBJ I-OBJ O O O O O O O O O O O 
reviews_097507_0001_0 Best meat pies in Canada ||| p.Locus p.Locus B-GOV I-GOV I-GOV B-PREP B-OBJ 
reviews_148566_0001_0 Good fun for wing night , food eh , beer list eh ... ||| p.Purpose p.Purpose B-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O O O O O 
reviews_154113_0002_0 Cécile is a hairdresser and has just moved into the neighbourhood . ||| p.Goal p.Goal O O O O O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_173758_0001_0 best place for snowboard eva . ||| p.Purpose p.Purpose B-GOV I-GOV B-PREP B-OBJ O O 
reviews_194313_0002_0 It s the only pizza place I recommend in Woodland Hills . ||| p.Locus p.Locus O O O O O O O B-GOV B-PREP B-OBJ I-OBJ O 
reviews_232106_0001_0 Clean & tidy with good atmosphere & pleasant staff . ||| p.Characteristic p.Characteristic B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ I-OBJ I-OBJ O 
reviews_371492_0002_0 I am so glad that we now have a good nail shop on San Mateo Avenue ! ||| p.Locus p.Locus O O O O O O O O B-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O 
reviews_105719_0001_0 Over priced for Mexican food ||| p.ComparisonRef p.ComparisonRef B-GOV I-GOV B-PREP B-OBJ I-OBJ 
reviews_083849_0003_0 I 'll drive an hour just for their volcano , yum ! ||| p.Purpose p.Purpose O B-GOV I-GOV O O O B-PREP B-OBJ I-OBJ O O O 
reviews_262722_0008_1 Choose this hotel over the Hilton ( which is on the next block ) . ||| p.Locus p.Locus O O O O O O O B-GOV O B-PREP B-OBJ I-OBJ I-OBJ O O 
reviews_057644_0005_0 ' Electric ' blanket on one bed did not heat . ||| p.Locus p.Locus O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O 
reviews_059088_0002_0 Encino has been blessed by the opening of this smoke shop most definately . ||| p.Means p.Means O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O O O O 
reviews_072271_0002_4 What a joy to stroll off historic Canyon Road in Santa Fe into a gallery with a gorgeous diversity of art . ||| p.Species p.Species O O O O O O O O O O O O O O O O B-GOV I-GOV I-GOV B-PREP B-OBJ O 
reviews_251475_0003_0 In a few words ... I 'm pleasantly surprised that you can still find " old school " service out there where company care more about good name and customers than their pockets ... ||| p.Manner p.Manner B-PREP B-OBJ I-OBJ I-OBJ O O O B-GOV I-GOV O O O O O O O O O O O O O O O O O O O O O O O O O 
reviews_310018_0001_0 Natasha is the BEST photographer we have ever worked with . ||| p.SocialRel p.Ancillary O O O O O O B-GOV I-GOV I-GOV B-PREP O 
reviews_162253_0003_0 There is something wrong or maybe the individual made a mistake but to me that is not integrity . ||| p.Experiencer p.Goal O O O O O O O O O O O O B-PREP B-OBJ O O B-GOV I-GOV O 
reviews_072271_0002_3 What a joy to stroll off historic Canyon Road in Santa Fe into a gallery with a gorgeous diversity of art . ||| p.Characteristic p.Characteristic O O O O O O O O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O O O 
reviews_235462_0001_0 Hobbs on Mass . ||| p.Locus p.Locus B-GOV B-PREP B-OBJ O 
reviews_287454_0002_0 They offer a large variety of quality hotdogs and hamburgers They also offer veggie dogs . ||| p.Species p.Species O O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ I-OBJ O O O O O O 
reviews_288894_0002_0 The address is for Noida Location not for Gurgaon Location . ||| p.Gestalt p.Purpose B-GOV I-GOV O B-PREP B-OBJ I-OBJ O O O O O 
reviews_079827_0002_0 What a neat gem of a restaurant in a corner one would n't expect it . ||| p.Identity p.Identity O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O O O O O O 
reviews_231724_0003_0 Go down 1 block to Super 8 . ||| p.Goal p.Goal B-GOV O O O B-PREP B-OBJ I-OBJ O 
reviews_096340_0002_1 Hancocks is one of four fabric stores in Fort Smith . ||| p.Locus p.Locus O O O O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_267982_0002_0 The lesson was donated by the teacher Adz . ||| p.Agent p.Agent O O B-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O 
reviews_288894_0002_1 The address is for Noida Location not for Gurgaon Location . ||| p.Gestalt p.Purpose B-GOV I-GOV O O O O O B-PREP B-OBJ I-OBJ O 
reviews_079827_0002_1 What a neat gem of a restaurant in a corner one would n't expect it . ||| p.Locus p.Locus O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O O O 
reviews_266676_0001_0 Thanks For A Great Job ||| p.Explanation p.Explanation B-GOV B-PREP B-OBJ I-OBJ I-OBJ 
reviews_251475_0003_1 In a few words ... I 'm pleasantly surprised that you can still find " old school " service out there where company care more about good name and customers than their pockets ... ||| p.Stimulus p.Topic O O O O O O O O O O O O O O O O O O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ I-OBJ O O O O 
reviews_368431_0004_0 Luckily I live very close , so I can abuse it during week - ends ... ||| p.Time p.Time O O O O O O O O B-GOV I-GOV O B-PREP B-OBJ I-OBJ I-OBJ O 
reviews_275140_0001_0 I 'm really surprised by the negative reviews . ||| p.Stimulus p.Causer O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O 
reviews_072271_0002_2 What a joy to stroll off historic Canyon Road in Santa Fe into a gallery with a gorgeous diversity of art . ||| p.Goal p.Goal O O O B-GOV I-GOV O O O O O O O B-PREP B-OBJ I-OBJ O O O O O O O 
reviews_139456_0001_0 Pleasure to work with . ||| p.Agent p.Ancillary O B-GOV I-GOV B-PREP O 
reviews_059088_0002_1 Encino has been blessed by the opening of this smoke shop most definately . ||| p.Theme p.Theme O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O O O 
reviews_359433_0002_0 We have used them for plumbing & A / C and they are affordable and get the work done right . ||| p.Purpose p.Purpose O B-GOV I-GOV O B-PREP B-OBJ I-OBJ I-OBJ I-OBJ I-OBJ O O O O O O O O O O O 
reviews_105326_0002_0 + there is a free cola with every pizza . ||| p.Ancillary p.Ancillary O O O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_158740_0002_0 it was worth of the ride more than an hour ... ||| ?? null O O B-GOV B-PREP B-OBJ I-OBJ O O O O O 
reviews_096340_0002_0 Hancocks is one of four fabric stores in Fort Smith . ||| p.QuantityItem p.Whole O O B-GOV B-PREP B-OBJ I-OBJ I-OBJ O O O O 
reviews_020957_0002_0 I wo n't go to anyone else . ||| p.Goal p.Goal O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_162662_0003_0 I purchased four gift items there and had them all embroidered within a week . ||| p.Duration p.Duration O O O O O O O O O O B-GOV B-PREP B-OBJ I-OBJ O 
reviews_236648_0002_1 Walked in and was out ta there in 10 mins with a really good deal i thought i was going to be paying a lot because i had a DUI but with my DUI and Sr - 22 they were able to get me the best deal out there . ||| p.Time p.Interval O O O B-GOV O O O B-PREP B-OBJ I-OBJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
reviews_047007_0001_2 Called to check if they had a product I 've been using on my dog for years ... the boy who answered the phone could n't possibly have been ruder to me . ||| p.Beneficiary p.Goal O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-GOV B-PREP B-OBJ O 
reviews_210019_0001_0 We have stayed at Tanglewood for many years now . ||| p.Locus p.Locus O B-GOV I-GOV B-PREP B-OBJ O O O O O 
reviews_323248_0002_0 Quality of work is sufficient but not outstanding . ||| p.Gestalt p.Gestalt B-GOV B-PREP B-OBJ O O O O O O 
reviews_308297_0002_0 This is one of my favorite places to eat for lunch . ||| p.Whole p.Whole O O B-GOV B-PREP B-OBJ I-OBJ I-OBJ O O O O O 
reviews_354860_0002_0 From first meeting with them to launch of my website , everything went smooth and on schedule . ||| p.StartTime p.StartTime B-PREP B-OBJ I-OBJ O O O O O O O O O B-GOV O O O O O 
reviews_125629_0002_0 And they seem to be posted at fairly regular intervals ? ||| p.Frequency p.Frequency O O O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O 
reviews_332785_0001_0 Thanks for following me around the store ||| p.Locus p.Path O O B-GOV O B-PREP B-OBJ I-OBJ 
reviews_063754_0002_0 He worked on it right on the back of my car . ||| p.Theme p.Theme O B-GOV B-PREP B-OBJ O O O O O O O O 
reviews_288930_0002_0 you get a really good view of the city and there is also attractions like simulator , short movies . ||| p.Stimulus p.Theme O O B-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O O O O O O O O 
reviews_358063_0001_1 Friendly Efficient and overall great place for people in chronic intractable pain ||| p.Characteristic p.Locus O O O O O O O B-GOV B-PREP B-OBJ I-OBJ I-OBJ 
reviews_041925_0002_0 I will be calling tropics for my companie s next event ! ||| p.Purpose p.Purpose O B-GOV I-GOV I-GOV O B-PREP B-OBJ I-OBJ I-OBJ I-OBJ I-OBJ O 
reviews_030875_0003_0 Their location , the northwest corner of S. 10th & Federal Sts. , is now home to Slice Pizza . ||| p.Whole p.Whole O O O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ I-OBJ I-OBJ O O O O O O O O 
reviews_356361_0002_0 A very well established service with a satisfying outcome . ||| p.Characteristic p.Characteristic B-GOV I-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O 
reviews_280170_0002_2 I used to tan down the street before I was referred to this place by one of my friends . ||| p.Originator p.Agent O O O O O O O O O B-GOV I-GOV O O O B-PREP B-OBJ O O O O 
reviews_090390_0003_0 It is , surprisingly , near the Blue Water Bridges , some miles to the west of this location . ||| p.Locus p.Locus O B-GOV I-GOV I-GOV O B-PREP B-OBJ I-OBJ I-OBJ I-OBJ O O O O O O O O O O 
reviews_359287_0001_0 High guality pup food at a good price . ||| p.Cost p.Locus B-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O 
reviews_077213_0003_0 not sure how I feel about that one . ||| p.Stimulus p.Topic O O O O B-GOV B-PREP B-OBJ I-OBJ O 
reviews_097507_0002_0 If you are looking for authentic British meat pies , then look know further . ||| p.Theme p.Theme O O B-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ I-OBJ O O O O O O 
reviews_308297_0002_1 This is one of my favorite places to eat for lunch . ||| p.Circumstance p.Circumstance O O O O O O O B-GOV I-GOV B-PREP B-OBJ O 
reviews_210019_0001_1 We have stayed at Tanglewood for many years now . ||| p.Duration p.Duration O B-GOV I-GOV O O B-PREP B-OBJ I-OBJ O O 
reviews_306740_0002_0 My son was able to advance a full two grades within 9 months ! ||| p.Duration p.Duration O O O O B-GOV I-GOV O O O O B-PREP B-OBJ I-OBJ O 
reviews_117893_0004_0 Loved every bit of it . :) ||| p.QuantityItem p.Whole O B-GOV I-GOV B-PREP B-OBJ O O 
reviews_280170_0002_3 I used to tan down the street before I was referred to this place by one of my friends . ||| p.QuantityItem p.Whole O O O O O O O O O O O O O O O B-GOV B-PREP B-OBJ I-OBJ O 
reviews_090390_0003_1 It is , surprisingly , near the Blue Water Bridges , some miles to the west of this location . ||| p.Locus p.Goal O O O O O O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O 
reviews_162702_0001_0 The best photographer in Miami ||| p.Locus p.Locus B-GOV I-GOV I-GOV B-PREP B-OBJ 
reviews_186275_0002_2 I will gladly recommend you to anyone in need of or looking for a good florist . ||| p.Theme p.Theme O O O O O O O O O O O B-GOV B-PREP B-OBJ I-OBJ I-OBJ O 
reviews_354860_0002_1 From first meeting with them to launch of my website , everything went smooth and on schedule . ||| p.Agent p.Ancillary O B-GOV I-GOV B-PREP B-OBJ O O O O O O O O O O O O O 
reviews_358063_0001_0 Friendly Efficient and overall great place for people in chronic intractable pain ||| p.Beneficiary p.Beneficiary O O O B-GOV I-GOV I-GOV B-PREP B-OBJ O O O O 
reviews_288930_0002_1 you get a really good view of the city and there is also attractions like simulator , short movies . ||| p.PartPortion p.ComparisonRef O O O O O O O O O O O O O B-GOV B-PREP B-OBJ I-OBJ I-OBJ I-OBJ O 
reviews_063754_0002_1 He worked on it right on the back of my car . ||| p.Locus p.Locus O O O O B-GOV B-PREP B-OBJ I-OBJ O O O O 
